Enter starting balance ($): 250000.0
Enter amount deposited every year ($): 20000.0
Enter estimated annual interest rate (%): 10.0
Enter target balance ($): 2000000.0

Year    Deposit    Interest    Balance
----    -------    --------    -------
0    250000.00    0.00    250000.00
1    20000.00    27000.00    297000.00
2    20000.00    31700.00    348700.00
3    20000.00    36870.00    405570.00
4    20000.00    42557.00    468127.00
5    20000.00    48812.70    536939.70
6    20000.00    55693.97    612633.67
7    20000.00    63263.37    695897.04
8    20000.00    71589.70    787486.74
9    20000.00    80748.67    888235.41
10    20000.00    90823.54    999058.96
11    20000.00    101905.90    1120964.85
12    20000.00    114096.49    1255061.34
13    20000.00    127506.13    1402567.47
14    20000.00    142256.75    1564824.22
15    20000.00    158482.42    1743306.64
16    20000.00    176330.66    1939637.30
17    20000.00    195963.73    2155601.03
In year 17, balance 2155601.03 reaches target 2000000.00
